quarter,Food_CPI_YoY_qavg
2006Q4,
2007Q1,
2007Q2,
2007Q3,
2007Q4,
2008Q1,22.55577696989984
2008Q2,20.10617446953493
2008Q3,13.607510871686022
2008Q4,6.280931750367695
2009Q1,1.1858961087330477
2009Q2,-1.1292064676428404
2009Q3,1.4010790979980812
2009Q4,4.10030982310446
2010Q1,10.107505315629702
2010Q2,6.420390641754067
2010Q3,7.648290198185818
2010Q4,10.696940001297262
2011Q1,11.348026847184627
2011Q2,12.627755335826459
2011Q3,13.847049134232174
2011Q4,9.852250396259713
2012Q1,8.116943179120113
2012Q2,5.777390473862661
2012Q3,2.8102584716518613
2012Q4,3.1151541174127364
2013Q1,3.910707439682959
2013Q2,4.104107482962831
2013Q3,5.294672605405563
2013Q4,5.4800652890639805
2014Q1,3.407495876009888
2014Q2,3.334174785800048
2014Q3,2.9981458055843064
2014Q4,2.6257022934711958
2015Q1,2.05129733874152
2015Q2,2.214050328264879
2015Q3,3.163073281988845
2015Q4,2.401701834678116
2016Q1,6.556030536538245
2016Q2,5.393723687149425
2016Q3,2.704821494821837
2016Q4,3.284487236589214
2017Q1,-1.8203074292989099
2017Q2,-1.998952029466772
2017Q3,-0.8384056544069299
2017Q4,-0.598313632914745
2018Q1,2.052934755579535
2018Q2,0.4142758631924555
2018Q3,1.9830998315994626
2018Q4,2.867086023366309
2019Q1,2.3984272758664846
2019Q2,7.49526383240633
2019Q3,10.225524436536572
2019Q4,17.404162518065856
2020Q1,20.29934596654107
2020Q2,12.270024549533135
2020Q3,10.89071328751819
2020Q4,0.61407076940961
2021Q1,-0.6577802180893358
2021Q2,-0.35627063270197157
2021Q3,-5.147957569586662
2021Q4,-0.6161086889874379
2022Q1,-3.162433311919699
2022Q2,2.17808953512774
2022Q3,6.954301976290123
2022Q4,5.14118771605571
2023Q1,3.794101860068144
2023Q2,1.3229642672015245
2023Q3,-2.2060783255306213
2023Q4,-4.042513198205026
2024Q1,-3.2817630927263637
2024Q2,-2.3694009056814735
2024Q3,2.0605898048854634
2024Q4,1.1996844390343469
2025Q1,-1.3968031957153793
2025Q2,-0.30053237391938953
2025Q3,-3.484868365046578
2025Q4,-1.4227440109880918
