equation,spec,dep_var,sample,coefficient,beta,se,p,n,r2
Eq1,rw_fe,price_exp,base,meat_shock,0.242269820998266,0.174163099176088,0.174441597102479,90133,0.00190639229069922
Eq1,rw_fe_demog,price_exp,base,meat_shock,2.63597031111615,0.806079777381748,0.00270135951286709,22121,0.0419254806784459
Eq1,prov_wave_fe,price_exp,base,meat_shock,0.0899400183021541,0.0529391321108504,0.0996810655923942,90133,0.0111202051700661
Eq1,prov_rw_fe,price_exp,base,meat_shock,0.118861765497945,0.0498032707304003,0.0235117137865906,90133,0.0115923829368096
Eq1,rw_fe_horse,price_exp,horse,meat_shock,0.282883526733551,0.15231671682055,0.0731239402290988,90133,0.00373949457608103
Eq1,rw_fe_horse,price_exp,horse,grain_shock,0.780406923218676,0.644366065962807,0.235302665437492,90133,0.00373949457608103
Eq1,rw_fe_horse,price_exp,horse,egg_shock,-0.788707858553598,0.300364269810947,0.0134754429720503,90133,0.00373949457608103
Eq1,rw_fe_drop2022,price_exp,drop2022,meat_shock,0.512291539891486,0.19400219632663,0.0130085896795853,69533,0.00228364601321096
Eq1,rw_fe_collapsed,price_exp,collapsed,meat_shock,0.242269820998248,0.194103458584654,0.221630916438788,124,0.14498246967556
Eq2,rw_fe,realized_cpi_ann,base,meat_shock,-3.51916759297063,1.95377352086069,0.0817290270013871,93,0.589371277877401
Eq2,prov_wave_fe,realized_cpi_ann,base,meat_shock,-4.70316098665605,1.64607975128321,0.00769303112298254,93,0.703509878980324
Eq2,rw_fe_horse,realized_cpi_ann,horse,meat_shock,-3.63032510890364,1.60656310045018,0.0312624691650058,93,0.623658958613681
Eq2,rw_fe_horse,realized_cpi_ann,horse,grain_shock,4.05024816924185,4.38831927968499,0.363391495398864,93,0.623658958613681
Eq2,rw_fe_horse,realized_cpi_ann,horse,egg_shock,-3.26965218812364,1.54206838289608,0.0423617929548221,93,0.623658958613681
Eq2,rw_fe_drop2022,realized_cpi_ann,drop2022,meat_shock,-3.51916759297063,1.95377352086069,0.0817290270013871,93,0.589371277877401
Eq3,rw_fe,fe_clean,base,meat_shock,-5.55463998266332,1.19782063306017,6.47532854363642e-05,69533,0.484144779073705
Eq3,rw_fe_demog,fe_clean,base,meat_shock,-1.62256272246514,5.74054399137086,0.779386491683936,22121,0.0546299197693456
Eq3,prov_wave_fe,fe_clean,base,meat_shock,-5.35074030827396,1.20111886097317,0.000108039909369523,69533,0.4875591401945
Eq3,prov_rw_fe,fe_clean,base,meat_shock,-7.12662057002799,1.1931749586003,1.50436558720278e-06,69533,0.525958905872327
Eq3,rw_fe_horse,fe_clean,horse,meat_shock,-5.52107724978276,1.0332371332398,8.83121630087073e-06,69533,0.488075300499399
Eq3,rw_fe_horse,fe_clean,horse,grain_shock,2.55777570813041,5.04026725383429,0.61553687981612,69533,0.488075300499399
Eq3,rw_fe_horse,fe_clean,horse,egg_shock,-1.63689929923052,0.761100905573474,0.039678856055492,69533,0.488075300499399
Eq3,rw_fe_drop2022,fe_clean,drop2022,meat_shock,-5.55463998266332,1.19782063306017,6.47532854363642e-05,69533,0.484144779073705
Eq3,rw_fe_collapsed,fe_clean,collapsed,meat_shock,-5.55463998266398,1.33540692061484,0.000245892229336861,93,0.813559629029816
