outcome,h,beta,se,ci_low,ci_high,n,model
Forecast error,0,-2.23717123290194,1.11409395844467,-4.42079539145349,-0.0535470743503894,32,OLS LP
Forecast error,1,1.54261699135072,1.44545364751428,-1.29047215777726,4.37570614047871,29,OLS LP
Forecast error,2,-1.36863853566648,0.852347356478288,-3.03923935436392,0.301962283030964,28,OLS LP
Forecast error,3,0.866131438129605,1.11538981250725,-1.3200325943846,3.05229547064381,27,OLS LP
Forecast error,4,-2.25417239625346,0.950158554187942,-4.11648316246183,-0.391861630045097,26,OLS LP
Forecast error,5,0.987935390845055,1.14064270756482,-1.24772431598198,3.22359509767209,25,OLS LP
Forecast error,6,-0.238238758937257,1.22258804987034,-2.63451133668313,2.15803381880861,25,OLS LP
Forecast error,7,2.64810049419089,1.776265312113,-0.833379517550577,6.12958050593236,24,OLS LP
Forecast error,8,-0.816335474139844,2.0134623803244,-4.76272173957568,3.13005079129599,23,OLS LP
Forecast error,0,0.030844815635577,7.05827211075883,-13.8033685214517,13.8650581527229,32,IV LP
Forecast error,1,6.14692107823494,6.92776305062564,-7.43149450099131,19.7253366574612,29,IV LP
Forecast error,2,-7.83091734597924,4.17603080843346,-16.0159377305088,0.354103038550351,28,IV LP
Forecast error,3,24.5335482059059,319.151241627861,-601.002885384702,650.069981796513,27,IV LP
Forecast error,4,-20.9207865506217,74.3403385757607,-166.627850159113,124.786277057869,26,IV LP
Forecast error,5,14.7171631138045,7.82902321389254,-0.627722385424843,30.0620486130339,25,IV LP
Forecast error,6,-22.5972695440334,40.3203672888784,-101.625189430235,56.4306503421683,25,IV LP
Forecast error,7,7.73778218265391,10.4181742183836,-12.6818392853779,28.1574036506858,24,IV LP
Forecast error,8,-4.28265278084069,12.2260966909065,-28.2458022950173,19.680496733336,23,IV LP
Realized inflation,0,3.63745686478721,1.02722602648701,1.62409385287268,5.65081987670174,33,OLS LP
Realized inflation,1,-1.76068044317735,1.12535012867174,-3.96636669537396,0.445005809019265,32,OLS LP
Realized inflation,2,1.98029178704764,1.59051679741239,-1.13712113588064,5.09770470997592,31,OLS LP
Realized inflation,3,-1.83768392829953,0.738342729488027,-3.28483567809606,-0.390532178502999,30,OLS LP
Realized inflation,4,1.25540576788676,0.941174513678662,-0.589296278923422,3.10010781469693,29,OLS LP
Realized inflation,5,-1.34269066392521,1.21273711589796,-3.71965541108521,1.03427408323478,28,OLS LP
Realized inflation,6,0.187530257075397,1.24587176870703,-2.25437840959038,2.62943892374117,27,OLS LP
Realized inflation,7,-0.133537608960637,1.2975921113352,-2.67681814717764,2.40974292925636,26,OLS LP
Realized inflation,8,2.61108084123796,1.87010004969772,-1.05431525616956,6.27647693864549,25,OLS LP
Realized inflation,0,9.52987946228592,3.78875359521984,2.10392241565504,16.9558365089168,33,IV LP
Realized inflation,1,0.293703293007948,6.4247867869666,-12.2988788094466,12.8862853954625,32,IV LP
Realized inflation,2,7.91042826718502,7.75506522946895,-7.28949958257412,23.1103561169442,31,IV LP
Realized inflation,3,-8.9641104011512,4.86696247501196,-18.5033568521746,0.575136049872249,30,IV LP
Realized inflation,4,9.42510103983155,23.3586052045936,-36.3577651611719,55.207967240835,29,IV LP
Realized inflation,5,-4.18328584489596,19.5832495639722,-42.5664549902815,34.1998833004895,28,IV LP
Realized inflation,6,24.8360287342313,30.4398292809961,-34.826036656521,84.4980941249836,27,IV LP
Realized inflation,7,-26.4667104733149,53.9530629623506,-132.214713879522,79.2812929328923,26,IV LP
Realized inflation,8,6.48630644825537,9.92092656619673,-12.9587096214902,25.931322518001,25,IV LP
